"Name","Email","Status","Batch","College","React","DSA","WebD","Interviews"
"sandeep2016shah@gmail.com","sandeep2016shah@gmail.com","Not Placed","Nov20","Amity University Kolkata","","70%","80%","   XYZ On 01/02/2022 Result Pass,   ABCD On 20/11/2021 Result Pass,   ABCD On 20/11/2021 Result Pass,   ABCD On 20/11/2021 Result Pass,   LMNOP On 20/11/2021 Result Pass,   LMNOPXYZ On 20/11/2021 Result Pass,   TCS On 11/20/2021 Result undefined,   qwertyuio On 20/11/2021 Result undefined,   asdfghjkl On 20/12/2021 Result undefined,   zxcvasdfwer On 1/1/2021 Result Didn't Attend,   pl,okjnijhb On 1/1/12 Result Didn't Attend,   Shah On 20/12/21 Result Didn't Attend,   SandeepShah On 20/2/26 Result Didn't Attend,   asdfgertnb On 21/12/25 Result Didn't Attend,   trp On 2 Result Didn't Attend,   l,nko On 32 Result Didn't Attend,   hua On 1 Result Didn't Attend,   done On 1 Result Didn't Attend,   Really On 1 Result Didn't Attend,   Alok On 5 Result Didn't Attend"
"sandeepshah@gmail.com","sandeepshah@gmail.com","Not Placed","Nov20","Amity University Kolkata","","70%","80%","   XYZ On 01/02/2022 Result Pass,   pqrs On 1 Result Didn't Attend"
"sandeep@gmail.com","sandeep@gmail.com","Not Placed","Nov20","Amity University Kolkata","","70%","80%","   XYZ On 01/02/2022 Result Pass"
"r@r.com","r@r.com","Placed","Nov21","abc","70%","50%","60%","   TCS On 21/12/21 Result Didn't Attend"
"mn@mn.com","mn@mn.com","Placed","Dec21","xyz","70%","50%","60%","   TCS On 1 Result Didn't Attend"
"k@k.com","k@k.com","Placed","Sept21","xyz","80%","60%","70%","   TCS On 5 Result Didn't Attend"
"Shah Sandeep","sks@sks.com","Not Placed","Dec2021","pqrs","80%","50%","70%","   Alok On 5 Result Didn't Attend"
"Jitendar Kumar","abcde@k.com","Placed","Jan21","abcd","60%","40%","50%","   Alok On 5 Result Didn't Attend"
"jitttt","j.com","Not Placed","Fev21","hgf","60%","40%","50%","   TCS On 11/20/2021 Result Didn't Attend"
"asdfghj","asdfghj.com","Not Placed","asdfgh","sdfghj","60%","60","50%","   TCS On 11/20/2021 Result Didn't Attend,   Alok On 21/12/21 Result Didn't Attend"
"dasdfghj","sdfgh","Not Placed","sdfghj","ertyudfgh","60%","40%","50%","   Alok On 11/20/2021 Result Didn't Attend"
"kumar sandeep","sdfghjkldfghjk.com","Not Placed","sdfghjertyu","sdfghrtyu","60%","60","50%","    On  Result Didn't Attend"
"shah kumar sandeep","hjk","Not Placed","ertyuik","ertyu","70%","50%","60%",""
